Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,1u,CL05A105KP5NNNC 
J1,SM04B-SRSS-TB_LFSN_,1,C239522,C239522
U2,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,1,SHT40-CD1B-R3,SHT40-CD1B-R3
U3,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,1,SHT43-ADCB-R2,SHT43-ADCB-R2
